name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Bagon,Pokémon,Basic,70,Dragon,,,"[Colorless] Bite 10 | [Fire,Water] Reckless Charge 50 — This Pokémon also does 10 damage to itself.",,,2,JTG,Journey Together,112,Common,I,
Baltoy,Pokémon,Basic,70,Psychic,,,"[Psychic] Rapid Spin 10 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)",Darkness ×2,Fighting -30,2,OBF,Obsidian Flames,94,Common,G,
Banette,Pokémon,Stage 1,90,Psychic,Shuppet,,"[Psychic] Cursed Words — Your opponent chooses 3 cards from their hand and shuffles those cards into their deck. | [Psychic,Colorless] Spooky Shot 70",Darkness ×2,Fighting -30,1,ASC,Ascended Heroes,91,Uncommon,I,
Banette,Pokémon,Stage 1,90,Psychic,Shuppet,,"[Psychic] Cursed Words — Your opponent chooses 3 cards from their hand and shuffles those cards into their deck. | [Psychic,Colorless] Spooky Shot 70",Darkness ×2,Fighting -30,1,ASC,Ascended Heroes,234,Illustration Rare,I,
Banette,Pokémon,Stage 1,90,Psychic,Shuppet,,"[Psychic] Cursed Words — Your opponent chooses 3 cards from their hand and shuffles those cards into their deck. | [Psychic,Colorless] Spooky Shot 70",Darkness ×2,Fighting -30,1,JTG,Journey Together,60,Uncommon,I,
Banette ex,Pokémon,"Stage 1,ex",250,Psychic,Shuppet,,"[Psychic] Everlasting Darkness 30 — During your opponent's next turn, they can't play any Item cards from their hand. | [Psychic,Colorless] Poltergeist 60× — Your opponent reveals their hand. This attack does 60 damage for each Trainer card you find there.",Darkness ×2,Fighting -30,2,SVI,Scarlet & Violet,88,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Banette ex,Pokémon,"Stage 1,ex",250,Psychic,Shuppet,,"[Psychic] Everlasting Darkness 30 — During your opponent's next turn, they can't play any Item cards from their hand. | [Psychic,Colorless] Poltergeist 60× — Your opponent reveals their hand. This attack does 60 damage for each Trainer card you find there.",Darkness ×2,Fighting -30,2,SVI,Scarlet & Violet,229,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Barboach,Pokémon,Basic,70,Fighting,,,"[Fighting] Hide — Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. | [Fighting,Colorless] Mud-Slap 20",Grass ×2,,2,OBF,Obsidian Flames,108,Common,G,
Barboach,Pokémon,Basic,70,Fighting,,,"[Fighting] Hide — Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. | [Fighting,Colorless] Mud-Slap 20",Grass ×2,,2,PAF,Paldean Fates,50,Common,G,
Barraskewda,Pokémon,Stage 1,130,Water,Arrokuda,,"[Water] Sharp Fin 40 | [Water,Water] Dive 60 — Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Lightning ×2,,1,DRI,Destined Rivals,63,Uncommon,I,
Basculin,Pokémon,Basic,90,Water,,,"[Colorless] Bite 10 | [Water] Bared Fangs 50 — If your opponent's Active Pokémon has no damage counters on it before this attack does damage, this attack does nothing.",Lightning ×2,,1,WHT,White Flare,24,Common,I,
Basculin,Pokémon,Basic,90,Water,,,"[Colorless] Bite 10 | [Water] Bared Fangs 50 — If your opponent's Active Pokémon has no damage counters on it before this attack does damage, this attack does nothing.",Lightning ×2,,1,WHT,White Flare,108,Illustration Rare,I,
Baxcalibur,Pokémon,Stage 2,160,Water,Arctibax,"[Ability] Super Cold: As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokémon.","[Water,Water,Colorless] Buster Tail 130",Metal ×2,,2,PAL,Paldea Evolved,60,Rare,G,
Baxcalibur,Pokémon,Stage 2,160,Water,Arctibax,"[Ability] Super Cold: As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokémon.","[Water,Water,Colorless] Buster Tail 130",Metal ×2,,2,PAL,Paldea Evolved,210,Illustration Rare,G,
Baxcalibur,Pokémon,Stage 2,160,Water,Arctibax,"[Ability] Super Cold: As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokémon.","[Water,Water,Colorless] Buster Tail 130",Metal ×2,,2,PAF,Paldean Fates,130,Shiny Rare,G,
Baxcalibur,Pokémon,Stage 2,160,Water,Arctibax,"[Ability] Super Cold: As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokémon.","[Water,Water,Colorless] Buster Tail 130",Metal ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,19,Promo,G,
Bayleef,Pokémon,Stage 1,110,Grass,Chikorita,,"[Grass,Colorless] Push Down 50 — Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)",Fire ×2,,2,MEG,Mega Evolution,9,Common,I,
Bayleef,Pokémon,Stage 1,100,Grass,Chikorita,,"[Grass,Grass] Leaf Step 60",Fire ×2,,2,ASC,Ascended Heroes,9,Uncommon,J,
Beartic,Pokémon,Stage 1,150,Water,Cubchoo,,"[Water] Icicle Punch 30 | [Water,Water,Colorless] Frost Purge 170 — Flip a coin. If tails, discard all Energy from this Pokémon.",Metal ×2,,3,OBF,Obsidian Flames,54,Uncommon,G,
Beartic,Pokémon,Stage 1,150,Water,Cubchoo,,"[Colorless] Continuous Headbutt 50× — Flip a coin until you get tails. This attack does 50 damage for each heads. | [Water,Water,Water,Colorless] Sheer Cold 150 — During your opponent's next turn, the Defending Pokémon can't use attacks.",Metal ×2,,3,BLK,Black Bolt,26,Rare,I,
Beartic,Pokémon,Stage 1,150,Water,Cubchoo,,"[Colorless] Continuous Headbutt 50× — Flip a coin until you get tails. This attack does 50 damage for each heads. | [Water,Water,Water,Colorless] Sheer Cold 150 — During your opponent's next turn, the Defending Pokémon can't use attacks.",Metal ×2,,3,BLK,Black Bolt,110,Illustration Rare,I,
Beautifly,Pokémon,Stage 2,130,Grass,Silcoon,,"[Grass] Stun Spore 40 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Grass] Energy Straw 80× — Your opponent reveals their hand, and this attack does 80 damage for each Energy card you find there.",Fire ×2,,1,ASC,Ascended Heroes,13,Uncommon,I,
Beautifly,Pokémon,Stage 2,130,Grass,Silcoon,,"[Grass] Stun Spore 40 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Grass] Energy Straw 80× — Your opponent reveals their hand, and this attack does 80 damage for each Energy card you find there.",Fire ×2,,1,ASC,Ascended Heroes,219,Illustration Rare,I,
Beedrill,Pokémon,Stage 2,130,Grass,Kakuna,,"[Colorless,Colorless] Nadir Needle 30+ — If you have no cards in your hand, this attack does 120 more damage, and your opponent's Active Pokémon is now Paralyzed and Poisoned. | [Grass,Grass] Pierce 110",Fire ×2,,1,MEW,151,15,Rare,G,
Beheeyem,Pokémon,Stage 1,100,Psychic,Elgyem,,[Psychic] Cosmic Beatdown 20× — This attack does 20 damage for each of your Pokémon in play.,Darkness ×2,Fighting -30,1,TEF,Temporal Forces,74,Uncommon,H,
Beheeyem,Pokémon,Stage 1,90,Psychic,Elgyem,,"[Psychic] Calm Mind — Heal 40 damage from this Pokémon. | [Colorless,Colorless,Colorless] Psychic 80+ — This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.",Darkness ×2,Fighting -30,1,BLK,Black Bolt,41,Uncommon,I,
Beheeyem,Pokémon,Stage 1,90,Psychic,Elgyem,,"[Psychic] Calm Mind — Heal 40 damage from this Pokémon. | [Colorless,Colorless,Colorless] Psychic 80+ — This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.",Darkness ×2,Fighting -30,1,BLK,Black Bolt,121,Illustration Rare,I,
Beldum,Pokémon,Basic,70,Metal,,,"[Metal] Dig Claws 10 | [Metal,Colorless,Colorless] Iron Tackle 50 — This Pokémon also does 10 damage to itself.",Fire ×2,Grass -30,1,TEF,Temporal Forces,113,Common,H,
Beldum,Pokémon,Basic,60,Psychic,,,"[Psychic] Spinning Attack 10 | [Psychic,Psychic] Beam 30",Darkness ×2,Fighting -30,1,JTG,Journey Together,61,Common,I,
Bellibolt,Pokémon,Stage 1,130,Lightning,Tadbulb,,"[Lightning,Colorless] Electrobullet 70 — This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting ×2,,2,OBF,Obsidian Flames,77,Uncommon,G,
